,0
140,140 9414 86 4240 5704 5985 8483 9802 8231 1645 223
141,141 3477 6855 4019 3578 168 1674 702 8251 4694 5929
142,142 2996 7655 4678 7898 5381 4680 9464 5272 596 8861
143,143 128 156 7253 433 3172 7306 4899 8122 4114 418
144,144 8068 8923 3241 9301 6268 119 6719 9970 7576 6308
145,145 206 548 652 913 1003 1022 1091 1505 1806 1875
146,146 6289 1890 3312 743 2205 5895 3647 7214 8004 5528
147,147 3689 5150 3838 7093 6071 9538 4938 1704 2109 5108
148,148 5678 5858 5396 6093 33 8405 3169 3039 5963 8863
149,149 7180 4044 6795 9961 4836 1553 4567 5318 3337 9250
150,150 1475 6776 6817 4222 7175 9648 5818 9465 8029 5630
151,151 341 7052 6597 6228 4645 8871 1839 4006 1267 7382
152,152 5137 8844 6785 9150 4100 1514 4650 643 4445 915
153,153 269 911 5273 5460 7239 7457 5783 8272 4248 9593
154,154 3672 6850 9375 2473 2643 1257 6186 6061 7483 882
155,155 1062 6213 1516 5933 2115 7828 4621 3039 8070 3664
156,156 128 143 433 7253 3172 4899 8122 7306 418 4114
157,157 1016 3000 5873 1835 238 3224 7838 876 7925 6551
158,158 8936 5133 511 2520 7173 8983 4929 1554 3612 5194
159,159 2380 8170 410 2120 5249 8321 1820 1340 7744 5794
160,160 6675 9145 2474 9266 5975 7512 84 6354 924 4117
161,161 1198 6144 5912 6406 6515 5149 3574 3115 7181 6036
162,162 1959 3666 4252 2509 5983 816 5664 2453 4421 9814
163,163 882 2595 3502 3617 3626 4385 4430 4634 4702 5070
164,164 1344 755 7236 5187 8052 600 2589 6423 9445 7755
165,165 8338 5969 1088 2587 632 2984 9166 8103 5034 5009
166,166 8282 3917 603 1665 6483 2042 2681 7776 1766 6600
167,167 7047 5978 6972 6446 9333 8583 8196 4941 4298 9550
168,168 141 3477 6855 3578 4019 702 9559 5407 5473 6244
169,169 343 6002 2568 5840 5328 5246 5350 8023 9992 3703
170,170 5524 977 8128 2603 165 6971 9276 1614 1516 1062
171,171 7848 985 4341 6193 6516 9781 5971 2738 7741 6599
172,172 672 5149 8980 6445 7929 2071 6036 2638 5912 966
173,173 622 2986 5431 7486 8040 8216 5286 8140 8922 305
174,174 7666 1904 8554 2456 6111 6598 6583 3894 2848 6603
175,175 1380 1420 1770 2013 2976 5493 6500 6897 8376 2905
