25,390670256458 400627588059 370992285021 151209382839 400605289693 151210115031 390754487556 301079192182 390754488523 321299995201
26,400635687629 380792018012 141135022644 111241244077 380768116047 171225191907 331075561063 251430972499 221359182689 151214211584
27,151215670348 321305592761 350981883982 231137445053 171227546098 151212233446 291065928817 221360452010 221360846496 360845435282
28,271383119252 281244534658 280931235927 221358283849 221073720802 261309225220 231137445053 161205268291 171225640220 221359479083
29,380824359194 131089072490 231074998506 131101374685 151217524710 151218641778 330779417595 190989756280 321305592761 221347916623
30,221359479083 271381757776 251350262330 131095460909 181309056424 331112359052 271218548768 231144691993 141173972316 111257701489
31,321305592761 251315717884 151215670348 231140156460 221351063222 151217524710 320960199510 201024962093 261372970393 220719751500
32,291053573351 201020912947 191049052968 131094843121 121262199294 231034137896 151212233446 221359534189 221359479083 261261721687
33,291065658754 231074998506 380824359194 131090237962 221359506230 111257892249 310818751044 131089072490 151217524710 131101374685
34,370975729246 141135506426 360798613736 350845524155 370857399958 271383146884 121253802088 370990121732 261377832886 360798610970
35,221356279406 131074420270 111251436649 171225640220 271383119252 251385345657 330730470165 251427600191 111263419417 330779417595
36,261377024704 331111209223 231097206301 301052172492 350979376719 111241431082 301076567707 271378586589 370961289647 281251591063
37,121050157104 111264147116 201024128760 291005382932 231141905384 380825116637 221296199786 221358283849 251268688078 121258615889
38,271354933698 130960125483 161204077498 370993505263 291030263212 380825074955 261360102172 271372951659 360828790270 231122155981
39,151206975881 350945434426 171217815264 271374583578 261359294812 310824820752 350909671927 321306320650 271375374343 321248824497
40,321303491576 261366365962 221361648182 121257239911 111264652154 360843510556 191047373092 271372159755 390753422621 331112486569
41,231143488824 261363818219 321180745673 251430972499 201026594702 161206586984 310791979398 350831789229 141170252239 161208580615
42,360844334630 180772963997 181296074557 251409552814 360845566237 360827053586 331021767659 380817489141 161081343272 321280803905
43,251431733694 171206344872 261381041128 201020144726 261372703525 261383063836 151214211584 271378680402 191050346599 131089399620
44,171217118592 171225727590 201024595434 161200888065 261382647446 331111187631 370927066397 201020144726 200949129499 291065871378
45,321180745673 310791979398 200986223735 281237592131 151218450944 350831789229 131063909944 161208580615 301073591655 171023103109
46,271374428832 200983935803 271381413787 350955766602 390740843954 370872419615 400644945917 360757578698 141148495816 291059443800
47,171222742080 161200977364 121232917371 131082270139 251433072543 271383206016 271378680402 281246796217 310850899480 370992405573
48,251432742743 301080604695 301073591655 331114468311 301028113304 221356959444 400652584210 370895229988 271369161416 321280803905
49,350793885647 171198112009 181306998843 181211705825 200949129499 370941813988 331111150971 231134549404 121261721624 201016216208
50,310811345944 261375095410 181302433696 331094821881 121262672330 181309617394 331111150971 261383402385 271369041510 121019418102
51,390745056898 331106760490 390717532727 300981070835 310762403687 181255390247 181255390285 301071240311 181302433696 191050619257
52,331111209223 271380797316 390722079466 111262538810 360845566237 221359493423 261372703525 231128482017 121261195593 111264129033
53,231140156460 261374716415 171051531701 281246853603 190976966754 191045959439 261368007328 301079933474 370990266951 281253178719
54,161204961449 111251436649 151217597264 131074420270 221358243959 301075364020 271381729833 281251548416 221356279406 321271806814
55,251433806384 221356279406 281251548416 271271361363 111251436649 131074420270 330730470165 161204961449 220507255007 301075364020
56,321305448402 231140404439 171051531701 221333714365 251433530408 321304540554 131099399069 261272664280 291064602544 360840429099
57,331114674000 181305765247 251432252590 231142479941 111260876482 261383378967 161206586984 370994156812 301072043573 231143488824
58,221358208833 321307215287 400651800363 360845435282 141143763489 331113995745 360842851271 150933404361 131102546638 141131534968
59,230747130318 161192076635 301072043573 271383206016 190911605497 221343674312 161184456470 221217958761 390753684153 121254002644
60,370947900285 301076227525 271349367030 191029299535 181309018955 271331653100 191045959439 390670256458 171224294318 331032091645
61,390717532727 390745056898 310808592855 300981070835 400626147289 310839321814 131099956578 400645118936 310762403687 271374761151
62,321304471990 221211726823 131098732214 171174146388 111221678527 261351448995 331096390919 331096398971 141170585626 281250649549
63,201008112664 171227438961 141173396004 261374716415 181305765247 161205202661 271372599926 251432252590 181309018955 111260876482
64,281197274331 151208007937 190994255639 301072043573 331074356935 171225191907 271267004575 281245160584 131099399069 271368438046
65,190991847192 131082270139 121261945805 231097206301 251427098593 261381730581 111250114003 121262199294 300924106031 231086731437
66,380817489141 201026548114 261381730581 261377832886 400627588059 121205745208 321299995201 151174948482 370961289647 171226664912
67,331103547809 331106464046 321306320650 331106676869 310654801694 271368438046 370961289647 181276347263 310824820752 191025958154
68,370927066397 111264705165 271349367030 291065871378 181305765247 200986951759 251432252590 370992975004 231142479941 111260876482
69,331111150971 350793885647 370872420296 121019418102 291033331443 251433072543 231126405294 231134549404 221359130191 271379483207
70,370787497640 111265311283 370825565420 141168379935 161136252147 290924309672 281021966300 290940225193 370688784566 370895229988
71,181261820244 190979826209 190444621680 121205745208 261378775892 230609589952 300863944289 350983465179 300945849005 291065907270
72,141159182137 370992114923 290992404327 280931235927 221073720802 261309225220 281244534658 221358283849 131090237962 171225640220
73,350966361003 370947900285 271349367030 321304540554 380792000643 131053672636 261272664280 251379557540 400565904543 221333714365
74,131101609745 251433904732 221354069950 141164959144 370993055013 111058103950 331109552602 171224294318 190989756280 331075561063
75,190444621680 181261820244 151216822375 190969721324 121205745208 190979826209 310853781642 230609589952 300863944289 261380490451
76,320960199510 221351063222 220719751500 171225091297 161186190813 110985493789 161205268291 321305592761 171225900199 251420046451
77,301016969606 131097637303 261355782741 331098903944 261381819517 271381539981 380817489141 171221907970 191019231439 251383677740
78,200575963587 251379434793 231144414186 331092877939 380815300111 141172523961 121260176395 310840079812 111236544376 290689389133
79,181284479412 191019231439 151209382839 261381040907 191019095625 321302250545 291064248963 191018898573 161184661310 301072042907
80,331092877939 161203499740 251427600191 161204077498 161205268291 221073720802 141138946267 320960199510 370975729246 290992404327
81,271383964504 221073720802 291063297027 190733002057 171225640220 181308988402 131074420270 131089072490 161186190813 400652584210
82,291062024574 390740843954 141164959225 271331653100 370987892664 400620260842 261261721687 121262199294 191043691966 301076567707
83,281179327710 281249299254 200955714054 221360659865 291065489741 151213084112 261382048644 181151029038 121012547228 350983052667
84,281246853603 181309018955 301079231407 221359517009 370990266951 141158669524 190976966754 261374716415 370947900285 221333714365
85,331106851585 390733026876 151215827271 331088742044 281242034414 251421272255 181151029038 291054351651 190994255639 390740783917
86,310603205580 390754134085 281250979342 301072042907 221361420915 191036364042 121252589087 321302250545 181144309508 301032497619
87,360693922441 171225640220 161022073131 281249606823 190733002057 181308988402 271383964504 221073720802 131089072490 161192076635
88,271374583578 350945434426 271381413787 271374428832 181185253117 281240605702 360757578698 291059443800 360798610970 390736196794
89,321191669242 370994156812 281149489437 301079102806 350971861994 300863944289 221358912596 251420046451 370992114923 281251579456
90,321191669242 251420046451 221354069950 370992114923 370993055013 281149489437 281252265766 291065661593 221358912596 291025048222
91,310839321814 271325133393 271372951659 231140156460 271374761151 290924309672 390754487565 121252627426 331106760490 290812611502
92,251383677740 370993055013 221354069950 111260876482 261383378967 160803351607 161205202661 121223657751 201008112664 221073720802
93,370935993851 380799940025 370857399958 320960199510 360828790270 271383206016 370975729246 110985493789 111262533682 321299995201
94,251412462272 370994606239 231141415190 380825074955 251430972499 191036364042 141170252239 181304019729 190991783597 261381043212
95,370940553668 400542967974 181305765247 251312042661 200949129499 251432252590 320960199510 111265297412 231142479941 161205202661
96,190733002057 360693922441 251433095337 221073720802 291063297027 171225640220 181308988402 200955714054 400652584210 161186190813
97,150933404361 131098732214 261378775892 121261195593 111264129033 231144691993 181306886825 321281637611 231136266967 181304019729
98,220507255007 131074420270 221356279406 271271361363 111251436649 161204961449 400639246241 390737805441 221358243959 400651568935
99,360693922441 171225640220 290992404327 280931235927 321304471990 131074420270 281244534658 271383964504 221358283849 251383677740
100,261359294812 321307386974 171174146388 190979396751 261359294861 201014400823 350973607368 271375374343 121050157104 321304798780
101,370993811713 390724883532 370992285021 331106676869 350922309978 350983052667 221333714365 281240605702 390726413907 191036364042
